,AIRMASS,BERV,BERV_DRS,BIS,BJD,BJD_DRS,CONTRAST_DRS,CRX,DPR_TYPE,DRIFT,DRIFT_LAMP,EXPTIME,E_MLCRX,FWHM_DRS,Halpha,MASK,MLCRX,NZP_drs,NZP_mlc,NaD1,NaD2,OBHAB,PROGID,PROGPI,RVGUESS,RV_drs,RV_drs_nzp,RV_mlc,RV_mlc_j,RV_mlc_nzp,SA,SNR_DRS,THAR_FP,TIMEID,TMMEAN,dLW,dNZP_drs,dNZP_mlc,e_CRX,e_DRIFT,e_Halpha,e_NaD1,e_NaD2,e_RV_drs,e_RV_drs_nzp,e_RV_mlc,e_RV_mlc_j,e_RV_mlc_nzp,e_dLW,f_RV,target
10,-9999999.0,-6.16072968129,-6.1663889899,0.0115416166793,2453306.83256,2453306.83182,40.7316948358,-5.658912936466357,"STAR,WAVE,G2.5V",0.0,-9999999.0,100.0021,5.978459855880001,7.108879987410001,0.44250178106304977,G2,-5.69106444731,-0.858,-1.196,0.3411361036728491,0.461197162159368,HARPS_ech_obs_all,074.C-0012(A),UNKNOWN,12.5,12560.537185299998,12560.796999999999,-6.996373945399999,-6.996373945399999,4.188,0.598,197.0,HARPS_ech_obs_thosimult,2004-10-28T07:55:07.515,0.49,28.9474187357,-9999999.0,0.8740000000000001,5.989966104661696,-9999999.0,0.0003706777356499029,0.0005201246777881059,0.0006749919215099478,0.409775786598,1.084,0.513789614943,0.513789614943,1.014,1.08568777899,0.0,GJ136
11,-9999999.0,-6.16236228731,-6.168031391919999,0.012300145090399998,2453306.83409,2453306.8333400004,40.7286548732,-7.001297782052927,"STAR,WAVE,G2.5V",0.0,-9999999.0,100.0017,4.26211968732,7.11061822702,0.4423178388370338,G2,-7.033448272929999,-0.861,-1.197,0.3409431717434936,0.4621179688701397,HARPS_ech_obs_all,074.C-0012(A),UNKNOWN,12.5,12560.9913618,12561.253999999999,-6.0846324980299995,-6.0846324980299995,5.099,0.598,203.1,HARPS_ech_obs_thosimult,2004-10-28T07:57:18.249,0.5,29.729198199200003,-9999999.0,0.8740000000000001,4.272774027793739,-9999999.0,0.00035900348198755126,0.0005045741509364959,0.0006561124414883616,0.39930814800700004,1.079,0.499883870862,0.499883870862,1.0070000000000001,1.2381738154700002,0.0,GJ136
12,-9999999.0,-9.06549686133,-9.070334785770001,-0.0031745340419199997,2453361.5993,2453361.59856,40.7623289297,-16.33063752269836,"STAR,DARK,G2",0.0,-9999999.0,30.0021,9.586003473949999,7.130303199339999,0.44886433127862996,G2,-16.391929531400002,-1.054,-0.5660000000000001,0.3397782571804809,0.4618215997246623,HARPS_ech_obs_all,074.C-0364(A),Robichon,12.36,12587.498014899998,12587.862,21.5911462196,21.5911462196,32.144,0.69,80.2,HARPS_ech_obs_objA,2004-12-22T02:21:58.259,0.46,29.581609818,-9999999.0,0.8740000000000001,9.567052513681473,-9999999.0,0.000929885686385718,0.001300471497038067,0.0016890812191110442,0.9382979468799999,1.3730000000000002,1.18440307333,1.18440307333,1.4709999999999999,2.5259053251099997,0.0,GJ136
13,-9999999.0,-9.15153865525,-9.15637637702,-0.00171660856155,2453362.69971,2453362.6989700003,40.7600177128,-27.74583020762413,"STAR,DARK,G2",0.0,-9999999.0,30.0017,10.2933483143,7.1329548836,0.4494452934465405,G2,-27.8388378137,-0.941,-0.725,0.3403623945105321,0.4604049079309726,HARPS_ech_obs_all,074.C-0364(A),Robichon,12.36,12580.757186499999,12581.006000000001,14.4535159849,14.4535159849,25.166,0.6920000000000001,85.9,HARPS_ech_obs_objA,2004-12-23T04:46:37.909,0.41,32.7922398368,-9999999.0,0.8740000000000001,10.275344286375779,-9999999.0,0.0008860165566566966,0.0012139805621637478,0.0015748288356528678,0.8662917310930001,1.325,1.09713810807,1.09713810807,1.402,2.10187733374,0.0,GJ136
14,-9999999.0,-9.039066021839998,-9.043901118439999,0.0048181670382900004,2453363.6082,2453363.60745,40.7667689616,-17.136968071062743,"STAR,DARK,G2",0.0,-9999999.0,30.0006,9.83474997509,7.13841777775,0.4538054290066951,G2,-17.1960789832,-0.5760000000000001,-0.855,0.34100282692541656,0.4592692880200255,HARPS_ech_obs_all,074.C-0364(A),Robichon,12.36,12578.241453899998,12578.124,10.535881534,10.535881534,21.378,0.693,88.5,HARPS_ech_obs_objA,2004-12-24T02:34:52.887,0.43,31.2003680633,-9999999.0,0.8740000000000001,9.823599866935552,-9999999.0,0.0008550069724015473,0.0011790104093764655,0.00152481366818205,0.8431809689390001,1.31,1.06763398405,1.06763398405,1.38,2.37013896427,0.0,GJ136
15,-9999999.0,-2.3862427989099997,-2.39030827731,-0.00394256183637,2453430.56415,2453430.5634,40.8224130196,-7.015321126892647,"STAR,WAVE,G2.5V",0.084,-9999999.0,240.0022,4.43740639414,7.09091303945,0.4427222911364551,G2,-7.02341058522,-0.06,-0.831,0.3327451852358767,0.4504030846066994,HARPS_ech_obs_all,074.C-0012(B),UNKNOWN,12.5,12567.440504200002,12566.696000000002,0.433905595109,0.433905595109,11.253,0.805,260.3,HARPS_ech_obs_thosimult,2005-03-01T01:31:32.991,0.54,13.3865685956,-9999999.0,0.8740000000000001,4.43453889835724,-9999999.0,0.00028598723032140694,0.0003936336794100368,0.0005106371419380698,0.296276477789,1.046,0.38467132508699997,0.38467132508699997,0.955,1.1347515227,0.0,GJ136
16,-9999999.0,-2.38741751165,-2.39148675865,-0.00506705406297,2453430.56718,2453430.56643,40.8318886315,-1.9705122507943127,"STAR,WAVE,G2.5V",0.317,-9999999.0,240.0005,3.97893278274,7.09074128157,0.4428578950586707,G2,-1.9795144374900002,-0.066,-0.8320000000000001,0.333254821334222,0.4500761833530613,HARPS_ech_obs_all,074.C-0012(B),UNKNOWN,12.5,12566.1191419,12565.38,-1.01777337806,-1.01777337806,9.801,0.805,280.3,HARPS_ech_obs_thosimult,2005-03-01T01:36:04.097,0.5,11.0234474583,-9999999.0,0.8740000000000001,3.978542281113281,-9999999.0,0.000260596660854037,0.0003651698440628169,0.0004732030614154578,0.280979983289,1.042,0.36810621274599997,0.36810621274599997,0.948,1.06183924261,0.0,GJ136
17,-9999999.0,-2.38857164771,-2.39264114272,-0.00428000102317,2453430.57032,2453430.5695700003,40.8363916019,-6.342754422974969,"STAR,WAVE,G2.5V",0.107,-9999999.0,240.0021,3.33428030778,7.0882358429100005,0.4428578340102956,G2,-6.34697319722,-0.07200000000000001,-0.833,0.3323319353715124,0.44849967034074817,HARPS_ech_obs_all,074.C-0012(B),UNKNOWN,12.5,12566.245479899999,12565.511999999999,-1.04371008358,-1.04371008358,9.776,0.805,275.4,HARPS_ech_obs_thosimult,2005-03-01T01:40:35.324,0.5,10.747776823099999,-9999999.0,0.8740000000000001,3.3339831652543706,-9999999.0,0.00026401322397980845,0.00037106175822593696,0.0004804701171057109,0.287372975213,1.043,0.378262017033,0.378262017033,0.9520000000000001,1.1882321735299999,0.0,GJ136
18,-9999999.0,0.622843913263,0.617329945071,-0.007415632694060001,2453624.90695,2453624.9062099997,40.9476073544,2.719688762864656,"STAR,WAVE,G2.5V",0.43700000000000006,-9999999.0,300.0019,5.12717102975,7.07857599523,0.4366315022025835,G2,2.72860269672,-0.883,0.49200000000000005,0.3377677865199665,0.4544030387008903,HARPS_ech_obs_all,60.A-9036(A),UNKNOWN,12.5,12555.602117100001,12555.354,-9.73057766685,-9.73057766685,-0.23600000000000002,1.131,133.1,HARPS_ech_obs_thosimult,2005-09-11T09:40:10.131,0.45,6.34052251522,-9999999.0,0.8390000000000001,5.13676339570143,-9999999.0,0.0005592839092099795,0.0007782326250336017,0.0010053411943515241,0.559295791333,1.148,0.7127524603059999,0.7127524603059999,1.101,1.53262674508,0.0,GJ136
19,-9999999.0,0.6175749860890001,0.612063355881,-0.00518581470561,2453624.91106,2453624.9103200003,40.947546999000004,3.877943807165219,"STAR,WAVE,G2.5V",0.051,-9999999.0,300.0009,4.28955626515,7.0802368029,0.4366792836129272,G2,3.8781859796,-0.8909999999999999,0.491,0.3365989457097824,0.4540159850670646,HARPS_ech_obs_all,60.A-9036(A),UNKNOWN,12.5,12556.344206,12556.104,-9.54636891613,-9.54636891613,-0.05,1.131,190.0,HARPS_ech_obs_thosimult,2005-09-11T09:45:41.214,0.53,5.26979454332,-9999999.0,0.8390000000000001,4.30617305117387,-9999999.0,0.0003859494939606978,0.000541242119661964,0.0007002566308939393,0.40441022939099996,1.081,0.510675127736,0.510675127736,0.982,0.9879100728799999,0.0,GJ136
